                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.51908,                0.60052,                0.38476,                0.88862,                0.87701,                0.82284,                0.87032,                0.66316,                0.87701,                0.82284,                0.86496,                0.54994,                0.67286,                 1.1725,                0.74898,                0.89183,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51142,                0.60087,                0.38294,                0.88199,                 0.8457,                0.88462,                0.89452,                 0.6998,                0.80879,                0.84615,                0.84451,                0.62003,                0.61971,                 1.1067,                 0.6782,                0.87614,              0.0008318,              0.0008318,              0.0008318
                     61,                0.51088,                0.60796,                0.39598,                 0.8814,                0.80064,                0.84962,                0.83349,                0.68671,                0.74636,                0.79229,                0.76753,                0.58309,                0.56488,                 0.8975,                0.72899,                 0.8578,               0.000812,               0.000812,               0.000812
                     62,                0.48723,                0.57597,                0.37578,                0.87869,                0.84771,                0.88462,                0.89248,                0.72316,                0.81051,                0.84615,                 0.8406,                0.65742,                0.60825,                  1.021,                0.55121,                0.88456,              0.0007922,              0.0007922,              0.0007922
                     63,                0.52468,                0.57346,                  0.391,                 0.8895,                0.88874,                0.76807,                 0.8384,                0.66957,                0.81091,                   0.75,                0.80587,                0.61011,                0.62547,                 1.1248,                 0.8432,                0.90961,              0.0007724,              0.0007724,              0.0007724
                     64,                0.48991,                0.57539,                0.36815,                0.88186,                0.88555,                0.84615,                0.85289,                0.67374,                0.82417,                0.78846,                0.78582,                0.57729,                0.64654,                0.92208,                0.70928,                0.92464,              0.0007526,              0.0007526,              0.0007526
                     65,                0.47575,                 0.5796,                0.35987,                0.88978,                0.88606,                0.89739,                0.89017,                  0.694,                0.84808,                0.85893,                0.84053,                0.62445,                 0.5824,                0.99908,                0.60455,                0.88195,              0.0007328,              0.0007328,              0.0007328
                     66,                0.48356,                0.59332,                0.37244,                0.88021,                0.93846,                0.87979,                0.91323,                0.71462,                0.87708,                0.82335,                0.82958,                0.59486,                0.58083,                 1.1322,                 0.5908,                0.87921,               0.000713,               0.000713,               0.000713
                     67,                0.47833,                0.55501,                0.35914,                0.87591,                0.88298,                0.82692,                0.89027,                0.70331,                0.86245,                0.80769,                0.85943,                 0.6018,                0.60295,                 1.1458,                0.72222,                0.86981,              0.0006932,              0.0006932,              0.0006932
                     68,                0.47748,                0.52673,                0.34917,                0.87763,                0.89215,                0.84615,                0.87148,                0.68569,                0.82182,                0.79837,                0.78869,                0.56726,                0.60959,                  1.129,                0.80881,                0.89035,              0.0006734,              0.0006734,              0.0006734
                     69,                0.46061,                0.52947,                 0.3518,                0.87482,                0.87632,                0.81767,                0.86533,                0.65177,                0.79395,                0.74112,                0.76703,                0.55672,                0.63514,                   1.35,                0.87753,                0.92298,              0.0006536,              0.0006536,              0.0006536
                     70,                0.46718,                 0.5201,                0.34454,                0.88029,                0.92602,                0.84615,                0.90332,                0.71262,                0.84709,                0.74582,                0.78921,                0.59114,                0.59722,                 1.3649,                0.74221,                0.88027,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47892,                0.55218,                0.35772,                0.87546,                 0.9306,                0.77363,                0.84363,                0.64551,                0.88371,                0.65385,                0.72165,                0.54095,                0.63131,                 1.4706,                0.96235,                0.87471,               0.000614,               0.000614,               0.000614
                     72,                0.44081,                0.50433,                0.33431,                0.87589,                0.91868,                0.86538,                0.92661,                0.74514,                0.85715,                0.80772,                0.85215,                0.62684,                0.57914,                 1.0498,                0.61398,                0.86264,              0.0005942,              0.0005942,              0.0005942
                     73,                0.44887,                 0.5274,                0.33565,                0.87371,                0.93598,                0.84349,                0.90478,                0.72974,                  0.872,                0.78611,                0.82631,                 0.6161,                0.54372,                 1.3142,                0.70798,                0.85716,              0.0005744,              0.0005744,              0.0005744
                     74,                0.44222,                 0.5003,                0.32957,                0.87721,                0.84071,                0.86538,                0.89906,                0.73858,                0.86658,                0.74943,                0.82946,                 0.6262,                0.52431,                 1.1482,                0.64347,                0.85495,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.4352,                0.50286,                0.31668,                0.86843,                0.91589,                0.83772,                0.86969,                0.73122,                0.87221,                0.78846,                0.80394,                0.61706,                0.54155,                  1.011,                0.69382,                0.85239,              0.0005348,              0.0005348,              0.0005348
                     76,                0.44371,                0.51532,                 0.3241,                0.87381,                0.89182,                0.86538,                 0.8741,                0.72533,                0.85201,                0.82692,                0.81859,                0.64321,                0.56429,                0.97612,                 0.6305,                0.85193,               0.000515,               0.000515,               0.000515
                     77,                0.44382,                0.48986,                0.32848,                0.86517,                0.88098,                0.88462,                0.89261,                0.73007,                0.84957,                0.78846,                0.80312,                0.61384,                0.52855,                0.95783,                0.63471,                0.84303,              0.0004952,              0.0004952,              0.0004952
                     78,                0.42653,                 0.5037,                0.31417,                0.86386,                 0.8568,                0.92054,                0.90687,                0.74977,                0.90586,                0.80769,                0.86287,                 0.6749,                0.52114,                0.94441,                0.56104,                0.83843,              0.0004754,              0.0004754,              0.0004754
                     79,                0.43751,                0.50132,                0.32856,                0.86706,                0.95903,                0.90041,                0.92919,                0.76364,                0.95175,                0.88462,                  0.911,                0.66244,                0.54343,                 1.0234,                0.52473,                 0.8526,              0.0004556,              0.0004556,              0.0004556
                     80,                0.42617,                0.50789,                0.31848,                0.86685,                0.91692,                0.90385,                0.90342,                0.75307,                0.89714,                0.88462,                0.89895,                0.64328,                0.51023,                 1.0892,                0.51656,                 0.8434,              0.0004358,              0.0004358,              0.0004358
                     81,                0.41407,                0.53523,                0.30375,                0.86336,                0.88177,                0.86058,                0.87464,                0.71765,                0.84157,                   0.75,                 0.7781,                0.58926,                0.50367,                 1.1329,                0.73493,                0.83969,               0.000416,               0.000416,               0.000416
                     82,                 0.4227,                0.50587,                0.31924,                0.86537,                0.93453,                0.82362,                0.87891,                0.73552,                0.88605,                0.76923,                0.82245,                0.61828,                0.51618,                 1.1057,                0.72681,                0.84666,              0.0003962,              0.0003962,              0.0003962
                     83,                0.44698,                0.54676,                0.32826,                0.87582,                0.89975,                0.88462,                0.89715,                0.73923,                0.87221,                0.78755,                0.82529,                0.62871,                0.53744,                 1.0578,                0.64962,                0.85341,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42235,                0.50567,                0.30621,                0.86872,                0.93728,                0.86219,                0.89222,                0.72402,                0.83289,                0.76681,                0.79026,                 0.5946,                0.55821,                 1.1246,                0.71001,                0.86337,              0.0003566,              0.0003566,              0.0003566
                     85,                0.41014,                0.49136,                0.30519,                0.86109,                0.93344,                0.84615,                0.87921,                0.73581,                0.89073,                0.78846,                0.81361,                0.60542,                0.52111,                 1.2148,                0.69486,                0.85072,              0.0003368,              0.0003368,              0.0003368
                     86,                0.39548,                0.46198,                0.28995,                0.85405,                0.89366,                0.84615,                0.84727,                0.68544,                0.83508,                   0.75,                0.75969,                0.56847,                0.53129,                 1.2459,                 0.7693,                0.84738,               0.000317,               0.000317,               0.000317
                     87,                0.38705,                0.47253,                 0.2823,                0.85631,                0.91488,                0.82681,                0.85991,                0.71677,                0.86628,                0.76923,                0.79493,                0.58608,                0.50949,                  1.183,                0.74039,                0.84269,              0.0002972,              0.0002972,              0.0002972
                     88,                0.39064,                0.46302,                0.29001,                0.85737,                0.88959,                0.84615,                0.86782,                0.72175,                0.85369,                 0.7855,                0.79584,                0.59945,                  0.487,                 1.2268,                0.70786,                 0.8376,              0.0002774,              0.0002774,              0.0002774
                     89,                0.38523,                0.45457,                0.28161,                0.85452,                0.86748,                0.88125,                0.89697,                0.75417,                   0.85,                0.80769,                 0.8407,                 0.6461,                0.50378,                 1.2634,                0.63603,                0.84201,              0.0002576,              0.0002576,              0.0002576
