                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.4105,                0.87915,                 1.2088,                0.66271,                0.64357,                 0.7077,                 0.4205,                 1.6906,                0.97138,                 1.3204,               0.001684,               0.001684,               0.001684
                     86,                  1.408,                0.86902,                 1.2069,                0.67152,                0.64188,                0.70913,                 0.4213,                 1.6941,                0.96712,                 1.3214,               0.001585,               0.001585,               0.001585
                     87,                 1.4089,                0.87211,                 1.2043,                 0.6771,                0.64384,                0.71153,                0.42243,                 1.6959,                0.96846,                 1.3216,               0.001486,               0.001486,               0.001486
                     88,                 1.4001,                0.86606,                 1.1994,                0.68266,                0.61825,                 0.7103,                0.42152,                 1.6901,                0.96756,                 1.3213,               0.001387,               0.001387,               0.001387
                     89,                 1.3996,                0.86129,                 1.1997,                0.68383,                0.64586,                0.71324,                0.42197,                 1.6922,                0.96418,                 1.3221,               0.001288,               0.001288,               0.001288
                     90,                 1.4619,                0.85096,                 1.2385,                0.68303,                0.63231,                0.71215,                 0.4216,                 1.6901,                0.96353,                 1.3229,               0.001189,               0.001189,               0.001189
                     91,                 1.4582,                0.84417,                 1.2403,                0.67689,                0.65948,                0.71372,                0.42216,                 1.6918,                0.96154,                  1.324,                0.00109,                0.00109,                0.00109
                     92,                 1.4522,                  0.838,                 1.2345,                0.67529,                0.65443,                0.71092,                0.42087,                 1.6938,                0.96066,                 1.3254,               0.000991,               0.000991,               0.000991
                     93,                 1.4489,                0.83646,                 1.2359,                0.69899,                0.63868,                0.71169,                0.42072,                  1.693,                0.96045,                  1.325,               0.000892,               0.000892,               0.000892
                     94,                  1.442,                0.83114,                 1.2288,                0.71571,                0.64243,                0.71533,                0.41949,                  1.695,                0.96059,                 1.3279,               0.000793,               0.000793,               0.000793
                     95,                 1.4387,                0.82891,                 1.2275,                0.71424,                0.64091,                0.71614,                0.41935,                 1.6976,                0.96114,                 1.3278,               0.000694,               0.000694,               0.000694
                     96,                 1.4349,                 0.8284,                 1.2275,                0.70626,                0.63792,                 0.7115,                0.41629,                 1.6958,                0.96253,                 1.3272,               0.000595,               0.000595,               0.000595
                     97,                 1.4311,                0.82163,                 1.2279,                0.71485,                0.64794,                0.71513,                0.41769,                  1.697,                0.96085,                 1.3286,               0.000496,               0.000496,               0.000496
                     98,                 1.4272,                0.82128,                 1.2249,                0.71118,                0.65411,                0.71553,                0.41821,                 1.6965,                0.96179,                 1.3287,               0.000397,               0.000397,               0.000397
                     99,                 1.4273,                0.81817,                 1.2242,                 0.7142,                  0.649,                0.71775,                0.41886,                 1.6987,                0.96114,                 1.3296,               0.000298,               0.000298,               0.000298
